experiment,column,original_length,padded_length,global_rms_diff,global_crest_diff,global_energy_diff,global_centroid_diff,global_spectrum_diff,global_kl_divergence,c0_jump,c1_jump,boundary_wavelet_max,boundary_wavelet_energy,local_variance_ratio_50,local_window_size,local_mean_diff,local_variance_ratio_100,local_rms_diff_100,local_centroid_diff_100,local_spectrum_diff_100,local_kl_divergence_100
Ablation_AR_vs_Mean_NoTrend_v4,Me1Cyl_lo_in_temp,84951,131072,0.118661,0.0488512,0.0463099,0.0410935,0.043033,0.000740342,0,0,0.909801,3.52542,0.135353,100,0.349265,0.0163912,0.00899969,0.239397,0.132348,0.409962
Ablation_No_Postprocessing_v4,Me1Cyl_lo_in_temp,84951,131072,0.118661,0.0488512,0.0463099,0.0410915,0.0430327,0.00074034,0,0,0.909846,3.52589,0.135972,100,0.349262,0.0164661,0.00899962,0.259267,0.140876,0.410609
Ablation_No_Transition_v4,Me1Cyl_lo_in_temp,84951,131072,0.118656,0.0488542,0.0463096,0.0413448,0.0431752,0.000740573,0,0,0.84515,3.45553,0.0187701,100,0.359251,0.00250282,0.00925806,0.259094,0.235785,0.0574498
Compare_LastValue_Padding,Me1Cyl_lo_in_temp,84951,131072,0.0904606,0.0675459,0.0439656,0.0422055,0.0443432,0.000640037,0,0.013,0.835675,3.36564,0,100,0.50087,0,0.0129361,2.09978,0.825447,2.0399
Compare_Mean_Padding,Me1Cyl_lo_in_temp,84951,131072,0.194938,0.24214,0.00060194,0.0707709,0.0827151,1.09978e-06,2.65581,0.013,1.86362,13.5764,0,100,3.15668,0,0.0819146,2.09978,0.825447,2.0399
Compare_Periodic_Padding,Me1Cyl_lo_in_temp,84951,131072,0.0428242,0.047054,0.00185476,0.0312952,0.119314,2.47238e-07,1.05,0.063,0.777132,4.44225,3.65515,100,2.91514,1.82783,0.075765,0.199811,0.0957065,0.00480337
Compare_Symmetric_Padding,Me1Cyl_lo_in_temp,84951,131072,0.028733,0.0328976,0.000975333,0.0229082,0.0250958,2.9545e-05,0,0.026,0.851153,3.64668,1,100,0,1,1.84547e-16,0.0207791,0.0351572,0.0057348
Compare_Zero_Padding,Me1Cyl_lo_in_temp,84951,131072,10.5644,0.590006,0.351875,0.320054,0.433968,0.0134452,39,0.013,26.2383,2841.45,0,100,38.4991,0,1,2.09978,0.825447,2.0399
Proposed_Method_v4,Me1Cyl_lo_in_temp,84951,131072,0.0194512,0.147177,0.0338534,0.0409732,0.043775,0.00028054,0,0,0.910647,3.5311,0.212884,100,0.609514,0.120886,0.0157666,0.187718,0.105959,0.0236954
Ablation_AR_vs_Mean_NoTrend_v4,Me1Egr_cyl_lo_in_temp,84951,131072,0.135366,0.0717696,0.0887158,0.0445127,0.0134902,0.00172116,0,0,2.34846,53.9081,0.295587,100,0.000543648,0.136344,0.00034747,0.0025078,0.0149582,0.183398
Ablation_No_Postprocessing_v4,Me1Egr_cyl_lo_in_temp,84951,131072,0.0768261,0.215585,0.0524519,0.0431632,0.0134303,0.000295981,0,0,2.34846,55.9505,0.430727,100,0.558619,0.335868,0.0184648,0.00494716,0.0127683,0.477338
